"index,N,9,0","county,C,80","state,C,80","area_cons_,N,24,15","area_count,N,24,15","Permil_Con,N,24,15",Percent_Co
0,Abbeville,SC,0.000000000778233,0.00000012861219,6.05100591350666,0.605100591350666
1,Accomack,VA,0.000000008333277,0.000000158358596,52.6228272591658,5.26228272591658
2,Ada,ID,0.000000000955464,0.000000306077174,3.12164513633384,0.312164513633384
3,Adair,KY,0.000000000105736,0.000000107467571,0.983884269712217,0.098388426971222
4,Adair,MO,0.000000000387512,0.000000156355466,2.47840225948696,0.247840225948696
5,Adair,OK,0.000000001111034,0.000000149106928,7.45126001644753,0.745126001644753
6,Adams,CO,0.000000000852897,0.000000321638958,2.65172030110406,0.265172030110406
7,Adams,ID,0.000000000154123,0.000000402837998,0.382592115872,0.0382592115872
8,Adams,IL,0.000000000083279,0.000000237204964,0.35108609659947,0.035108609659947
9,Adams,IN,0.000000000716656,0.000000094095503,7.61626725829339,0.761626725829339
10,Adams,LA,0.000000000041179,0.000000402837998,0.102223203706087,0.010222320370609
11,Adams,MS,0.000000001289996,0.000000120767729,10.6816257351682,1.06816257351682
12,Adams,ND,0.000000000544686,0.000000298198742,1.82658823024972,0.182658823024972
13,Adams,NE,0.00000000023062,0.000000155320742,1.48479609533939,0.148479609533939
14,Adams,OH,0.000000000213582,0.00000015721951,1.35849647969448,0.135849647969448
15,Adams,PA,0.000000011270854,0.000000142969652,78.8338900633898,7.88338900633898
16,Adams,WA,0.000000000352426,0.000000591729879,0.595586703525043,0.059558670352504
17,Adams,WI,0.000000004296962,0.000000201278109,21.3483822634354,2.13483822634354
18,Addison,VT,0.000000027641133,0.000000235586701,117.328920112421,11.7328920112421
19,Aiken,SC,0.000000001667687,0.000000268556625,6.20981341141492,0.620981341141492
20,Aitkin,MN,0.000000000116926,0.00000060219277,0.194166543938634,0.019416654393863
21,Alachua,FL,0.000000011630737,0.000000230648373,50.4262681881284,5.04262681881284
22,Alamance,NC,0.000000000524047,0.000000112126023,4.67372885128789,0.467372885128789
23,Alameda,CA,0.000000004648719,0.000000200808865,23.1499685647994,2.31499685647994
24,Alamosa,CO,0.000000015534212,0.000000190361609,81.6037018105605,8.16037018105605
25,Albany,NY,0.000000000710186,0.000000152718246,4.65030435561155,0.465030435561155
26,Albany,WY,0.000000008496462,0.000001206635067,7.04145125134223,0.704145125134223
27,Albemarle,VA,0.00000004076969,0.000000193049304,211.187966379527,21.1187966379527
28,Alcona,MI,0.000000000138927,0.000000203044527,0.684221081309594,0.068422108130959
29,Alexander,IL,0.000000002461327,0.00000006622966,37.1635174415974,3.71635174415974
30,Alexander,KY,0.000000000088306,0.00000006622966,1.33332598126744,0.133332598126744
31,Alexander,NC,0.000000000034587,0.000000066637328,0.519031191093387,0.051903119109339
32,Alexandria,VA,0.000000000004838,0.000000003763941,1.28533465480736,0.128533465480736
